incident_id,timestamp,zone,equipment_id,incident_type,severity,injuries,root_cause
INC-00001,2023-01-01 01:20:00,Tank Farm,Tank-02,Spill,Medium,0,Unknown
INC-00002,2023-01-01 01:20:00,Compressor Room,Compressor-02,Equipment Failure,Medium,0,Human Error
INC-00003,2023-01-01 01:35:00,Boiler House,Boiler-01,Equipment Failure,Medium,0,Human Error
INC-00004,2023-01-01 03:15:00,Compressor Room,Compressor-01,Vibration Spike,Medium,0,Unknown
INC-00005,2023-01-01 08:25:00,Tank Farm,Tank-02,Gas Leak,High,0,Wear and Tear
INC-00006,2023-01-01 10:20:00,Cooling Tower,Pump-02,Electrical Fault,Critical,1,Human Error
INC-00007,2023-01-01 19:40:00,Boiler House,Boiler-02,Overheat,Low,0,Material Failure
INC-00008,2023-01-01 20:50:00,Compressor Room,Compressor-01,Equipment Failure,Medium,0,Material Failure
INC-00009,2023-01-01 21:25:00,Tank Farm,Tank-02,Gas Leak,Medium,0,Material Failure
INC-00010,2023-01-01 22:55:00,Chemical Storage,Pump-01,Equipment Failure,Medium,0,Material Failure
INC-00011,2023-01-02 05:50:00,Cooling Tower,Pump-02,Leak,Medium,0,Wear and Tear
INC-00012,2023-01-02 09:00:00,Compressor Room,Compressor-01,Equipment Failure,Low,0,Human Error
INC-00013,2023-01-02 12:30:00,Chemical Storage,Pump-01,Equipment Failure,Medium,0,Unknown
INC-00014,2023-01-02 15:10:00,Boiler House,Boiler-01,Equipment Failure,High,1,Material Failure
INC-00015,2023-01-02 15:10:00,Cooling Tower,Pump-02,Equipment Failure,Medium,0,Material Failure
INC-00016,2023-01-02 16:05:00,Tank Farm,Tank-01,Gas Leak,Low,0,Human Error
INC-00017,2023-01-03 01:15:00,Chemical Storage,Pump-01,Equipment Failure,Low,0,Material Failure
INC-00018,2023-01-03 08:40:00,Tank Farm,Tank-01,Gas Leak,Low,0,Wear and Tear
INC-00019,2023-01-03 18:45:00,Boiler House,Boiler-01,Explosion,Medium,0,Human Error
INC-00020,2023-01-03 20:00:00,Tank Farm,Tank-01,Spill,Critical,2,Wear and Tear
INC-00021,2023-01-03 20:55:00,Boiler House,Boiler-01,Overheat,Critical,2,Material Failure
INC-00022,2023-01-03 20:55:00,Tank Farm,Tank-02,Gas Leak,Medium,0,Material Failure
INC-00023,2023-01-03 22:55:00,Boiler House,Boiler-02,Equipment Failure,Low,0,Material Failure
INC-00024,2023-01-03 23:45:00,Cooling Tower,Pump-02,Leak,Medium,0,Material Failure
INC-00025,2023-01-04 00:15:00,Tank Farm,Tank-02,Gas Leak,Medium,0,Material Failure
INC-00026,2023-01-04 05:50:00,Cooling Tower,Cooling-01,Equipment Failure,Medium,0,Wear and Tear
INC-00027,2023-01-04 08:10:00,Tank Farm,Tank-02,Gas Leak,Medium,0,Human Error
INC-00028,2023-01-04 08:15:00,Boiler House,Boiler-01,Equipment Failure,Medium,0,Wear and Tear
INC-00029,2023-01-04 08:30:00,Tank Farm,Tank-01,Gas Leak,Low,0,Unknown
INC-00030,2023-01-04 10:35:00,Boiler House,Boiler-02,Equipment Failure,Medium,0,Unknown
INC-00031,2023-01-04 13:15:00,Boiler House,Boiler-01,Equipment Failure,Medium,0,Unknown
INC-00032,2023-01-04 14:00:00,Cooling Tower,Cooling-01,Equipment Failure,High,1,Wear and Tear
INC-00033,2023-01-04 17:00:00,Cooling Tower,Pump-02,Equipment Failure,Medium,0,Human Error
INC-00034,2023-01-04 17:15:00,Compressor Room,Compressor-01,Fire,Medium,0,Material Failure
INC-00035,2023-01-04 18:05:00,Compressor Room,Compressor-01,Equipment Failure,Low,0,Human Error
INC-00036,2023-01-05 05:40:00,Tank Farm,Tank-02,Gas Leak,Medium,0,Wear and Tear
INC-00037,2023-01-05 05:50:00,Chemical Storage,Pump-01,Equipment Failure,Medium,0,Material Failure
INC-00038,2023-01-05 09:45:00,Compressor Room,Compressor-02,Vibration Spike,Low,0,Human Error
INC-00039,2023-01-05 10:05:00,Compressor Room,Compressor-02,Equipment Failure,Medium,0,Human Error
INC-00040,2023-01-05 18:10:00,Boiler House,Boiler-01,Overheat,Medium,0,Wear and Tear
INC-00041,2023-01-05 20:55:00,Compressor Room,Compressor-02,Equipment Failure,Medium,0,Unknown
INC-00042,2023-01-05 23:50:00,Compressor Room,Compressor-01,Equipment Failure,Medium,0,Human Error
INC-00043,2023-01-06 05:30:00,Boiler House,Boiler-02,Equipment Failure,Critical,2,Wear and Tear
INC-00044,2023-01-06 05:30:00,Tank Farm,Tank-01,Gas Leak,Low,0,Wear and Tear
INC-00045,2023-01-06 11:15:00,Chemical Storage,Pump-01,Electrical Fault,Medium,0,Unknown
INC-00046,2023-01-07 01:30:00,Chemical Storage,Pump-01,Leak,Low,0,Wear and Tear
INC-00047,2023-01-07 04:30:00,Compressor Room,Compressor-02,Fire,Medium,0,Material Failure
